mean_x,std_x,median_x,root_mean_square_x,mean_y,std_y,median_y,root_mean_square_y,mean_z,std_z,median_z,root_mean_square_z,Activity
5.21745646174463,4.366739016473841,6.8006577,6.800349420236982,-2.8833395856205253,3.2919772994466907,-2.2513185,4.37320219872115,1.156665156349642,3.6832135709336455,0.09101074,3.8563660687552987,hand_wash
5.511428182101132,4.447932429329928,7.42276435,7.079207800916133,-2.3115917183009054,2.949424829608526,-1.8543438499999998,3.7447138556192545,1.1253155653710407,3.9681039703518866,0.11930961749999999,4.120262145562847,hand_wash
5.581140104270022,4.386986199913974,7.507189,7.095894421492626,-2.466713590671141,2.736718626844141,-2.15911,3.6820577750928973,0.7923587060738255,3.8499287162503713,-0.02876214,3.926400987158844,hand_wash
5.726134471050897,4.369246569280477,7.6245446,7.199731117587518,-2.417336877102467,2.657919671541809,-2.1098751,3.5905730446203354,0.6834074337219731,3.57175903395207,0.049781033,3.6326167071216138,hand_wash
5.702628707970917,4.378105107752479,7.7430983,7.1864384448393785,-2.3702959841268454,2.647527426664596,-2.070874,3.5513410903022846,1.045116248343848,3.647407485446403,0.1472937,3.7902621822839597,hand_wash
5.738477001751663,4.2535299854550095,7.733518,7.140204422169843,-2.1452718576223946,2.4615984955276877,-1.8980529,3.263161484001979,1.7063974186600885,3.5931128323869457,0.44315,3.974119484859666,hand_wash
5.377427338800001,4.297264140949843,7.4509055,6.880564458018781,-2.5032832426822225,2.812612549200397,-2.0825969,3.7629292862237023,1.457017951851111,3.759736043721374,0.40052929,4.028287967913048,hand_wash
5.444139521864144,4.267310751719822,7.430548,6.914335797723564,-2.8939062071106902,3.102286772671746,-2.2896388,4.239981326485384,0.7573560210155901,3.040446031701136,0.19387813,3.130065741473275,hand_wash
5.297731626535874,4.104386983814544,7.101831649999999,6.698819419572636,-3.220142741963453,3.0950063166185875,-3.42547675,4.463956278496885,0.8781946884663677,2.9577614779706174,0.217846575,3.082201117748529,hand_wash
5.3128129676629205,3.987246007931244,7.2976246,6.639908600324559,-3.1929476021813485,2.896837484198722,-3.5278637,4.309028210694575,1.0501380994105618,3.179723249466726,0.21624868,3.345251774057472,hand_wash
5.145932545111111,3.8882352470447046,7.162306,6.447070115136679,-3.3240392217006804,2.7779428389092726,-4.0439906,4.329977410286601,1.146895603300907,3.328668416319365,0.23222765,3.5171406224835913,hand_wash
5.170370067276644,4.081627432331616,7.3586974,6.584423442575469,-3.296287206685941,2.782890047605096,-3.9469922,4.311893458058375,0.9015111497804988,3.0768788040278268,0.25246766,3.20287964062198,hand_wash
5.1567139973228695,4.076897899965272,7.1383557,6.5708088318292575,-3.446751161729821,2.8410819853165634,-4.26014085,4.464721976906807,0.5520487933233184,2.6617997351434344,0.133705695,2.7155201437796737,hand_wash
5.219417103445677,4.011833516819848,7.3203773,6.580382673549643,-3.4623688989146344,2.833700826016321,-4.0954833,4.4721420141902914,-0.04814601075277157,2.5728962163678375,-0.007456851,2.5704931318698208,hand_wash
4.294714246244989,3.79985718704058,5.5432725,5.731607729052538,-4.234477368207126,3.5910112764583713,-4.7373486,5.549544160281003,-0.6862646885434299,2.1553457783427796,-0.2323169,2.259674376418477,hand_wash
1.490477658508929,4.754885298476912,0.96938415,4.977950530208216,-4.740289017805133,4.178199825970646,-5.1995876,6.315752247397585,-0.48485056299888385,2.9959254924051875,-0.10759170500000001,3.0316026901641133,hand_wash
-0.85395771416287,3.5772387877442666,-1.0333065,3.6737898152356427,-5.271045398708657,4.5686514539659955,-6.119275,6.972011902716488,-1.1129582842448746,3.4944435184451175,-0.2993393,3.663604215476709,hand_wash
-2.217308533345103,2.832269757643704,-2.0070264,3.5944312941763767,-5.28878076824852,4.604708139236042,-6.284531,7.009011334625805,-1.6492670214908884,4.804847372108339,-0.30296996,5.074844924372888,hand_wash
-1.8665808167574711,2.8571367904625653,-1.404679,3.4100716323055136,-5.341338997806667,4.433935074333456,-6.3611717,6.93862289188449,-2.58732752445977,5.847848734714306,-0.7604187,6.3885040486887705,hand_wash
-1.7951836950774487,2.800296652667596,-1.4525794,3.3236250221258903,-5.249187838679954,4.3076757518019555,-6.3611717,6.787324538827681,-2.6839419551692485,5.972231641516557,-0.74006104,6.541394952940685,hand_wash
-1.8114203205283448,2.7529482194722408,-1.8002969,3.2928380102511046,-5.266140062146258,4.353360950854694,-6.358777,6.829422247102301,-2.0085889170102043,5.351105236202143,-0.34301513,5.709976027897995,hand_wash
-1.0799315170544217,2.4976436288622703,-1.3974938,2.7185161662859816,-4.98693483203288,4.2905348652827335,-5.508545,6.575444121062628,-2.478639194557823,4.154565392465573,-1.0047107,4.833728022676318,hand_wash
0.16420631644044953,3.5411926206875073,-0.32597092,3.5410209000186335,-4.8962586524791005,4.22475064749243,-5.407954,6.463881016554639,-0.3499431191094381,4.641240042149002,0.032332763,4.64921093613238,hand_wash
2.0212800635462753,3.342629250159992,2.7135572,3.903014449873289,-4.660214136302934,4.074374723771231,-5.245093,6.187136026272356,-0.47740549621693,4.530425239807871,-0.029937744,4.550421693728692,hand_wash
3.0888412993850443,3.143734034368013,3.9314245,4.404763766836203,-3.4669402753993306,4.199822449629145,-2.98539185,5.44231676867435,2.642755892360268,4.261150738485991,1.1643341,5.0100932525706945,hand_wash
3.1762790137038284,2.671001167935813,3.6916738000000002,4.148123369380113,-2.613722475964414,4.49796505810241,-0.619269125,5.19785224652061,3.1966679642576583,4.6014171381848925,1.80240225,5.598574704957279,hand_wash
2.797095620117713,3.0871702232524196,3.49852475,4.163291341271647,-1.9684752317941705,4.101699039362781,-0.536354565,4.545449143959383,4.222628522951346,4.575633350397915,4.05057695,6.222545263244496,hand_wash
2.9653735720986547,3.068276991739031,3.7298669,4.264581547002885,-3.4056161426502247,4.501142111828332,-1.959126,5.640308057587448,1.9767862506026903,4.699593031050235,0.777643065,5.093558477831275,hand_wash
3.0319618737158835,3.219923804920061,4.028423,4.420125301976425,-4.097524130606264,4.106705758198709,-4.366121,5.798017489352236,0.8733394463731544,4.214513549882041,0.19920444,4.299431352445904,hand_wash
3.2230582153171112,2.7738327956144335,4.033213,4.250312286155287,-4.644539007482222,3.8889893046649595,-5.98994375,6.054945993686718,-1.1550522753833332,3.538201233104988,-0.6178533749999999,3.7182245787771997,hand_wash
3.2265654684383596,2.724963321654686,4.096681,4.221336929133507,-4.6213898186430145,3.8381316155905423,-6.0546093,6.004651082238071,-0.8475724945687362,3.507127974290678,-0.16511598,3.60431035742905,hand_wash
