mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
2.5599188013863636,4.120115937006108,-2.029162747121213,5.355364789637752,4.611242351787879,6.947673801171057,hand_wash
3.9977706352631572,5.845780971065344,-2.9757198956907893,9.301930697816303,1.8277342395526315,10.318624438760825,hand_wash
4.58536883039735,5.450392382942592,-1.7558884908377486,6.115895939078117,4.384265923668874,8.911258697181632,hand_wash
4.653656537684211,5.155499041139205,-4.2439549516710535,5.850841631193817,1.3033246083914474,5.910800128251629,hand_wash
4.267189517777777,5.261985978846653,-3.476972504270833,4.917083170341861,2.5037281405694447,7.3748545469120526,hand_wash
5.397960853151316,4.547325923833192,-3.3161033305921053,5.264078622839781,0.7508294627434209,5.818345836692754,hand_wash
4.604169391800001,4.9204440493719535,-1.473784152053333,4.6637339886829565,3.5610622170799995,7.51125989627393,hand_wash
4.722258573006622,4.547894978107122,-4.53089957297351,5.161980628634913,1.5591851814086093,4.392281073139859,hand_wash
4.809973532128289,4.5467261571821425,-1.9088753875263158,5.910949823903249,3.4892558834539478,6.96891336258001,hand_wash
4.2476968364,4.910628168792483,-4.30615577784,4.73702145507507,1.5207064727400004,5.569358012430977,hand_wash
4.812124506315068,3.968595689483591,-0.6739555823815068,4.265295565716305,3.3201776810445205,3.7634460198133532,hand_wash
3.7977605714965996,5.073815165178622,-2.2790897516122453,6.08030028049444,3.6928318966666667,3.89190729239315,hand_wash
5.36448449125,4.991441131739292,-2.0837759656151316,5.060013300812223,2.033153193167763,5.289516236792927,hand_wash
4.5835502813112585,4.807048594413914,-1.4954398983841057,4.938926019111789,3.27747129211457,5.62023810952988,hand_wash
3.98308250957931,2.8157721553960937,0.9718103303689655,4.369881694950835,3.9932250101744824,4.065854646792339,hand_wash
4.722380249811024,3.8417864982431906,-4.373897917543307,3.698110769388978,-0.6954456673937007,2.390279162751573,hand_wash
5.730815887675676,4.444189858372895,-2.203082610547297,2.6347071647001106,1.1621599373337836,3.015640946764771,hand_wash
